id,out_of_scope,abstract
1824,0.0,"Sociological and urban studies have consistently reported that human behavior exhibits a discernible correlation with population size, following a power-law function. Individuals residing in larger communities exhibit significantly higher levels of activity in contrast to their counterparts in smaller communities. However, the underlying processes responsible for such behavioral patterns remain unclear. The authors propose that organizational crowding tends to generate competitive pressure that results in social overload for individuals, who in turn divide time and energy among many groups while reducing the time spent in each. The social overload thesis predicts integration, rather than mutual exclusion of groups, when experiencing competition. A large-scale event participation dataset from 11 major U.S. technology clusters over a period of 10 years is used to test these hypotheses. The results support the mediating role of competition in the relationship between population size and participation intensity. The authors demonstrate the impact of competition on network structure."
3365,0.0,"Different from a interaction model of traditional organizational incentive and individual behaviors, the research incorporates the concept of “cognitive bias” into a decision making model of employees’ co-opetition behaviors under organizational reform of joint-stock commercial banks based on theories of social dynamics, and establishes a model of employees’ co-opetition behaviors under different organizational incentives as well as variation characteristics of employees’ co-opetition behaviors. Research results show that in organizational change of commercial banks, incentive measures and communication modes shall be treated in differential manners according to specific stages, so that balanced distribution of resources and effect maximization can be achieved. At the initial stage of reform, strengthening of core employee management shall be emphasized and its diffusion effects shall be utilized positively. In this way, progress of organizational reform can be promoted from the microscopic layer."
2217,1.0,"The main aim of this article is to start a discussion of social pattern, a term that is commonly used in sociology but not specified or defined. The key question can be phrased as follows: Is it possible to transform the notion of social pattern from its current status in sociology as a proto-concept into a fully worked out concept? And if so, how can this be done? To provide material for the discussion we begin by introducing a few different types of patterns that are currently being used (patterns in nature, cultural patterns, statistical patterns, and computationally generated patterns). This is followed by a suggestion for what a strictly sociological concept of social pattern may look like. A useful and theoretically solid concept of social pattern can in our view be constructed by basing it on Weber’s concept of social action. This means that both the behavior of the actors and the meaning these invest their behavior with must be taken into account. The article ends with a brief discussion of how to use the concept of social patterns in an effective way and what may endanger such a use."
5786,0.0,"In the restructured environment of the power industry, various commodities such as energy and operating reserves may be provided through simultaneous auctions. Prediction of market players' behavior in the auctions and simulation of the markets' environment can assist market decision-makers in evaluating specific policies before enforcing them in the real environment. Considering effects of the energy and varieties of reserve markets and also their interactions in the simulations is of high importance, which leads to more realistic simulation results. In this paper, an approach based on a multiagent system is proposed for simulating the simultaneous energy, spinning reserve, and replacement reserve market auctions, in which bidding of each agent is carried out based on a reinforcement learning algorithm. The proposed method is applied on a sample system, through which the impacts of considering lost opportunity cost in the payment model are examined."
5002,1.0,"There has been an apparent resistance amongst mainstream investors to integrate the risk of stranded assets into investment decisions. This paper considers if the structure of the investment chain causes investors to be blind to risks such as stranded assets. This paper considers how the interaction between financial economic theory, regulation and the practices of the fund management industry gives rise to the way the industry analyses and manages risk. The paper draws on a mixture of academic literature and the author’s own experience of industry practice. The paper finds that institutional investors are constrained to measure risk in relation to a benchmark; risk becomes a function of volatility and divergence from peers. The risk of stranded assets is invisible in the decision-making chain. The industry is further constrained by its culture, regulation and inappropriate incentives. The paper concludes that integrating stranded asset risk requires a drastic overhaul of the regulation of, and theory used in, the investment chain. This would better align the investment industry with the long-term capital allocation requirements of society."
6856,0.0,"In network industries, a Universal Service Obligation (USO) is often seen as a burden on an incumbent, which requires compensation for the net cost of such service provision. This paper estimates the effects of consumer loyalty as an intangible benefit of USO in the postal sector. In doing so, the agent-based modelling (ABM) approach is applied, which makes it possible to model the behaviour of boundedly rational consumers and is thus particularly appropriate for taking into account intangibles considerations. The analysis shows that loyalty is crucial to whether the USO uniform pricing constraint results in loss-making or profitability. Under certain conditions and in the presence of a loyalty parameter, uniform pricing gives a USO provider an advantage, when the size of the rural area is sufficiently big and a disadvantage, if its size is too small. This finding is counterintuitive as USO providers in countries with sparsely populated areas are typically expected to incur a significant net cost of USO."
165,1.0,"The frequent occurrence of earthquakes, their high intensity, shallow focus and wide distribution pose severe challenges to urban safety and economic development. In high-density urban districts, the challenges of evacuation during earthquakes are further compounded by dynamic population distribution, traffic restrictions and limited emergency shelter space. This study develops an Agent-Based Model (ABM) to assess evacuation capacity under different scenarios, including baseline conditions, time-segmented evacuations, and earthquake-induced disruptions, using Nanjing's Gulou District as a case study. The simulation results reveal significant temporal and spatial variations in evacuation success rates. Areas with high population density and insufficient open space experience severe congestion and overloaded emergency shelters, especially in immediate evacuation scenarios. Road damage critically undermines evacuation success in directly affected zones, which emphasizes the need for a resilient road network. Moreover, weekday and weekend evacuations follow distinct patterns—office districts suffer from peak-time congestion, while commercial areas face evacuation delays during late-night hours. Vulnerable groups, including children and the elderly, face additional challenges due to mobility constraints and increased congestion in affected areas. By combining physical vulnerability (static) with time-varying population distribution (dynamic), it analyzes shifting evacuation demands. At the community scale, the research collected data on emergency spaces, evacuation routes, and population data for different time periods. This comprehensive analysis reveals the core dilemmas of the evacuation system and provides a basis for optimization strategies. The study underscores the need for better spatial planning and improved evacuation management to enhance disaster resilience in high-density urban districts. The findings provide valuable insights for urban planners and emergency response teams to optimize evacuation efficiency and minimize risks during earthquakes."
7274,0.0,"Previous attempts to study the 1918-1919 flu in three small communities in central Manitoba have used both three-community population-based and single-community agent-based models. These studies identified critical factors influencing epidemic spread, but they also left important questions unanswered. The objective of this project was to design a more realistic agent-based model that would overcome limitations of earlier models and provide new insights into these outstanding questions. The new model extends the previous agent-based model to three communities so that results can be compared to those from the population-based model. Sensitivity testing was conducted, and the new model was used to investigate the influence of seasonal settlement and mobility patterns, the geographic heterogeneity of the observed 1918-1919 epidemic in Manitoba, and other questions addressed previously. Results confirm outcomes from the population-based model that suggest that (a) social organization and mobility strongly influence the timing and severity of epidemics and (b) the impact of the epidemic would have been greater if it had arrived in the summer rather than the winter. New insights from the model suggest that the observed heterogeneity among communities in epidemic impact was not unusual and would have been the expected outcome given settlement structure and levels of interaction among communities. Application of an agent-based computer simulation has helped to better explain observed patterns of spread of the 1918-1919 flu epidemic in central Manitoba. Contrasts between agent-based and population-based models illustrate the advantages of agent-based models for the study of small populations."
8262,1.0,Online auctions are proving themselves as a viable alternative in the C2C and B2C marketplace. Several thousand new items are placed for auction every day and determining which items to bid on or when and where to sell an item are difficult questions to answer for online-auction participants. This paper presents a multiagent Auction Advisor system designed to collect data related to online auctions and use the data to help improve the decision making of auction participants. A simulation of applied Auction Advisor recommendations and a small research study that used subjects making real purchases at online auctions both indicate that online-auction buyers and sellers achieve tangible benefit from the current information acquired by and recommendations made by the Auction Advisor agents.
3514,0.0,"Policy interventions are frequently used by authorities around the world to mitigate carbon emissions. However, economic systems are essentially complex adaptive systems, which often exhibit unexpected responses to exogenous interventions and leave intervenors in a dilemma, even if the interventions are elaborately designed. To explore the behaviors of the diffusion system regarding low-carbon technologies, this study builds an agent-based model (ABM) to simulate enterprises’ reactions to multiple policy interventions aimed at spurring low-carbon technology diffusion. The simulated enterprises are in a complex network where they play evolutionary games with their neighbors, which enables the model to possess two critical features of economic systems: adaptiveness and equilibrium. The model reveals a dilemma of policy interventions: intuitively, carbon taxes, asymmetric penalties (only imposed on un-low-carbon enterprises) and subsidies can improve the diffusion, which is consistent with previous research; counter-intuitively, all these policies turn out to be inefficient or even harmful to low-carbon enterprises because of the diffusion system's high adaptiveness. Specifically, when carbon taxes and penalties increase, both the low-carbon and un-low-carbon enterprises end up with the equilibrium of equivalent but lower profits. In contrast, all the enterprises earn equivalent but more profits even though subsidies are only given to the low-carbon enterprises, which implies that the un-low-carbon enterprises (indirectly) grab a portion of the subsidies and accordingly weaken the incentive effect of subsidies. These system behaviors are summarized as “equalizing effect” because the system tends to equalize the impact of both positive and negative interventions among all enterprises even though the policy interventions are asymmetrically imposed on one type of the enterprises. The findings also indicate that policies implemented to enlarge green market sizes can help policymakers bypass the dilemma."
2524,0.0,"Power markets are becoming increasingly complex as they move towards (i) integrating higher amounts of variable renewable energy, (ii) shorter trading intervals and lead times, (iii) stronger interdependencies between related markets, and (iv) increasing energy system integration. For designing them appropriately, an enhanced understanding of the dynamics in interrelated short-term physical power and energy markets is required, which can be supported by market simulations. In this paper, we present an agent-based power market simulation model with rule-based bidding strategies that addresses the above-mentioned challenges, and represents market participants individually with a high level of technical detail. By allowing agents to participate in several interrelated markets, such as the energy-only market, a procurement platform for control reserve and a local heat market representing district heating systems, cross-market opportunity costs are well reflected. With this approach, we were able to reproduce EPEX SPOT market outcomes for the German bidding zone with a high level of accuracy (mean absolute percentage error of 8 €/MWh for the years 2016–2019). We were also able to model negative market prices at the energy-only market realistically, and observed that the occurrence of negative prices differs among data inputs used. The simulation model provides a useful tool for investigating different short-term physical power/energy market structures and designs in the future. The modular structure also enables extension to further related markets, such as fuel, CO<inf>2</inf>, or derivative markets."
4875,0.0,"Research background:Managerial scientists use a lot of modelling techniques for business processes. In this paper we are focused on agent-based modelling and simulations, which emerged in the last two decades as a new approach. Autonomous and interacting intelligent agents are able to model and simulate complex systems in the business sphere. With the use of agent-based modelling and simulations we are able to understand how macro level out-comes are affected by micro level processes and vice versa. Purpose of the article: The purpose of the paper is to introduce recent development in the area of agent-based modelling and simulations focused on the business domain. Managers often have to make difficult decisions under the uncertainty and high risks. Agent-based modelling can provide powerful tools for lowering those risks through a possibility of run-ning experiments, which is normally impossible in economics. In the second part we want to support the usefulness of agent-based simulations with our own simulations. The method used in this article is an agent-based simulation in a multi-agent system. We use a framework called MAREA. It is a simulation environment with integrated ERP system based on REA ontology. Our simulation model is based on a retail company that sells electronics. For simplicity, in our setup we trade with computer cables. Findings & Value added: In our simulations we experimented with the quality of sales service provided by company’s sales representatives. We investigated the impact of quality of sales service on company KPIs under the changing environment circumstances represent-ed by disturbance agent. The quality of sales service is a part of quality of service and thus it affects the perception of brand and loyalty of customers towards the company. In our simulation setup we work with two types of customers, long-term customers and new ones. The result is that quality of sales service has mostly positive effects on company KPIs."
5207,1.0,"This paper presents a simulation and optimization based decision-support system (DSS) to facilitate disaster relief coordination between private and relief organizations. The DSS simulates disasters and plans shipments of relief goods via transfer points to demand points in the affected area. This enables decision-makers to analyze the last-mile distribution of goods by scheduling and routing trucks, off-road as well as unmanned aerial vehicles. Roads which are closed or opened during a disaster are considered allowing a dynamic adaptation to real world conditions and a comprehensive analysis over a rolling time-horizon. A mixed-integer problem formulation, an agent-based simulation, a heuristic-based scheduling and routing procedure as well as a Tabu Search metaheuristic are applied to analyze the given decision problem. Coordination between private and relief organization shows to be especially beneficial if time-losses resulting from closed roads are high and substantial unexpected demand occurs. Furthermore, results highlight the importance of selecting suitable transfer points and the potential of simulation and optimization based DSSs to improve disaster relief distribution."
194,0.0,"Although the spread of misinformation on centralized social media platforms has received significant attention, few studies compare centralized and decentralized platforms, and how to mitigate misinformation diffusion in newly emerging blockchain-based decentralized social network platforms. We study misinformation diffusion between the decentralized and the centralized platforms and identify three decentralized governance mechanisms to mitigate the spread of misinformation in decentralized networks: user flagging, user article ratings, and user reputation. Our empirical experiments using agent-based simulations leveraging real-world data from two platforms reveal two findings. First, comparing misinformation diffusion between the decentralized Steemit and the centralized Pokec platforms suggests that in the absence of any mitigation mechanisms, misinformation in decentralized platforms affects more users, at faster rates, and reaches shorter distance from the misinformation initiating user. Second, within the decentralized platforms, misinformation affects fewer users, at slower rates, and reaches shorter distance from the misinformation initiating user in the presence of mitigating mechanisms than in their absence. We discuss the implications of these results both for the understanding of misinformation diffusion and for the governance of decentralized social network platforms."
921,0.0,"Sustainability in cities, and its accurate and exhaustive assessment, represent a major keystone of environmental sciences and policy making in urban planning. This study aims to provide methods for a reproducible, descriptive, predictive and prescriptive analysis of urban residential choices and mobility, which are key components of an urban system’s sustainability. Using the DPSIR framework for building agent evolution rules, we design an agent-based model of the canton of Geneva, Switzerland. The model leverages real geographical data for the canton of Geneva and its public transportation network. The resulting simulations show the dynamics of the relocation choices of commuters, in terms of the function of their travel time by public transportation to their workplace. Results show that areas around the city centre are generally preferred, but high rent prices and housing availability may prevent most residents from relocating to these areas. Other preferred housing locations are distributed around major tram and train lines and where rent prices are generally lower. The model and its associated tools are capable of spatialising aggregated statistical datasets, inferring spatial correlations, and providing qualitative and quantitative analysis of relocation dynamics. Such achievements are made possible thanks to the efficient visualisation of our results. The agent-based modelling methodology represents an adequate solution for understanding complex phenomena related to sustainability in urban systems, which can be used as guidance for policy making."
2977,0.0,"China has announced that the mandatory green certificate trading would be implemented in 2021. The mandatory green certificate trading not only fosters the liquidity of the green certificate market but also induces the possibility of market participants taking strategic behavior to gain more market returns. Generally, the self-interested strategic behavior was not conducive to improving market efficiency, thereby impeding the implementation of mandatory green certificate trading. To evaluate the influence of market participants’ strategic behavior on the green certificate trading, we embed the strategic behavior model into the artificial green certificate market to simulate the market participants’ strategic behavior in green certificate trading. The results indicate: (1) in green certificate market, the strength of the herd effect determines the average compliance costs level; (2) the value-trading strategy is the optimal strategy for renewable obligation subjects to reduce the compliance costs of mandatory green certificate trading; (3) market participants’ strategic behavior mainly affect the stability of green certificate price, and the greater the price fluctuation, the slower convergence speed to the equilibrium price."
5984,0.0,"In our modern world, where science, technology and society are tightly interwoven, it is essential that all students be able to evaluate scientific evidence and make informed decisions. Energy Choices, an agent-based simulation with a multiplayer game interface, was developed as a learning tool that models the interdependencies between the energy choices that are made, growth in local economies, and climate change on a global scale. This paper presents the results of pilot testing Energy Choices in two different settings, using two different modes of delivery."
4659,0.0,"Agent-based modeling is a well-established discipline today with a rich and vibrant research community. The field of evolutionary computation (EC) is also well recognized within the larger family of computational sciences. In the past decades many agent-based modeling studies of social systems have used EC methods to tackle various research questions. Despite the relative frequency of such efforts, no systematic review of the use of evolutionary computation in agent-based modeling has been put forth. Here, we review a number of prominent agent-based models of social systems that employ evolutionary algorithms as a method. We comment on some theoretical considerations, the state of current practice, and suggest some best practices for future work."
1702,1.0,"This study aims to identify the methods and associated indicators that are commonly used in value chain analyses (VCA) and to determine the areas of interest that have been excluded. Value chain analysis generally includes four different dimensions, which are institutional/functional, economic/financial, social, and environmental. This study has two main sources of literature. The first is the guidelines and the other is case studies on value chain analysis. The case study review is limited by the time between 2000 and 2022. The results showed that the researchers mainly focused on the institutional/functional analysis of the value chain, which is the first step of the analysis. Studies were mostly concentrated on the mapping of value chains, which includes the mapping of agents, core activities, and the marketing channels and flows of products. The second important area of interest is economic/financial analysis. Value added analysis is a top research area on the economical side of the value chain (VC). Consumer behavior and financial analysis are also included in the case studies. The research on consumer behavior of the value chain analysis has focused on the preferences, attitudes, and behaviors of the consumers. Financial analysis is another area of interest which generally concentrates on the cost of intermediate inputs, total output value, net present value, internal rate of return, cash flows and cost of fixed assets, and break-even point. The social and environmental sides of the value chain have been studied with less attention. This is much more important for a sustainable food VC."
8567,1.0,"The widespread diffusion of mobile computing and of portable devices with wireless connectivity identifies new challenging scenarios for the Internet provisioning of information services. The possible mobility of users, terminals, and even middleware/service components requires solutions to handle properly the links to information resources in response to the mobile entity migration. Binding decisions may depend on dynamic deployment conditions, e.g., local availability of resources, user preferences, and terminal hardware/software characteristics, and should be determined at service provision time. There is the need for novel middlewares capable of supporting mobility-enabled resource binding and of cleanly separating the application logic from binding strategies. The paper presents a middleware, called SCaLaDE, that supports the accessibility of mobile users/terminals to information services. SCaLaDE provides mobile clients with mobile agent-based proxies that can follow the user/terminal roaming and have their resource references transparently accommodated by the middleware depending on policy-driven binding strategies expressed in a high-level specification language and separated from the application logic. This separation of concerns is crucial to reduce the complexity and leverage the development of mobility-enabled information services."
3725,0.0,"Understanding the origins, conditions, advantages and limitations of cooperation in natural and social systems has motivated many investigations in the biological and social sciences. To investigate individual cooperative behaviour in the face of temporal and spatial heterogeneity of resources we considered a definition of cooperation at the same ontological level as competition. We define a cooperative behaviour when an agent acts upon one or more resource(s) with a beneficial result in at least one resource for a recipient of this action, and with a selection process for this behaviour on the side of the acting agent. We implemented an agent-based model that represents the interactions of agents through their use of resources. With this model, we illustrated how scarcity of resources in space and time might create situations where cooperative behaviour is beneficial to individuals or to egalitarian groups. Simulations highlighted that temporal scarcity as spatial scarcity of the resource procures advantages to egalitarian groups over competitive individuals. Additionally, the factors favouring equity among agents for the access to the resource promote the success of cooperation. Simulations also showed the limitations imposed by group size on cooperation in the context of a common-pool management system. The possibility of using indicators of (spatio-temporal) resource variability to characterize the potential for the emergence of cooperation is an interesting research objective for future work."
6880,1.0,"This paper proposes a new simulation tool for generation expansion planning (GEP) considering variety of uncertainties and investment options. The proposed simulation tool can treat plural uncertainties such as demand growth or fuel price in future, and select adequate investment options such as construction, decommission and reconstruction of generation plant. The proposed simulation tool can also treat the electricity market under the deregulated environment. The influences for several elements - plural uncertainties, investments and competitor's behavior on GEP are discussed through case studies using the proposed simulation tool."
588,0.0,"Achieving an optimal balance between public health and economic interests by accurately capturing the relationship between lockdown policies, epidemic outcomes, and economic costs is a significant challenge. Existing methods lack detailed simulation of individual behaviors, fail to respond promptly to unforeseen circumstances, and cannot ensure the long-term effectiveness of strategies, resulting in poor precision and adaptability. To address these issues, we propose an epidemic-evolutionary game co-evolution model. This model employs evolutionary game theory to describe the dynamic adjustments of individual mobility and regional management policies based on infection and economic costs, and utilizes a metapopulation to capture population movement and epidemic spread. The microscopic Markov chain approach is utilized to describe epidemic spread induced by population movement and analyze Nash equilibrium and evolutionarily stable strategies. Experimental results show that our model can intuitively reflect the complex relationship between individual mobility, regional management policies, infection rates, and economic costs. We find that the interests of governing agencies and individuals are aligned. Influenced by economic costs, individuals are instead inclined to work outside in the face of high infection rates. Additionally, the model can identify stable optimal mobility travel strategies under different economic costs and determine the balance point between lockdown and opening, without predefining optimisation objectives."
5185,0.0,"We use a general cellular automata model to study the consumer decision-making process. Within this general model we use three different rules governing word-of-mouth communication (w-o-m), one majority rule and two unanimity rules, and ask the question if differences between these three w-o-m rules, introduced on the microscopic level, will manifest on the macroscopic level. We show that in the model with the majority rule the neighborhood plays a significant role in terms of the market shares whereas movement (interpreted as seeking for information in other sources) is almost negligible. Exactly the opposite phenomena are observed for models in which unanimity, instead of majority, is needed to convince agents. We also introduce a modification of the unanimity rule, based on the Latane theory of the social influence, and show that on the macroscopic level this modification is indistinguishable from the simple unanimity rule. We conclude the paper with a recommendation which rules are more appropriate to model particular marketing phenomena."
7604,0.0,"We briefly review the current state of play in the area of agent-based software engineering, and then consider, 'what next?' We discuss a range of marketing activities that will together help in making people from other communities aware of work in this area. We then outline a number of research topics that are seen as vital to the future of the field. Although (as always) more research is needed, recent progress in both research and industrial adoption has been most encouraging, and the future of agent-based software engineering looks bright."
2727,0.0,"This study advances theory articulating the micro-level processes behind public organization adaptation to extreme weather. It tackles a persistent puzzle about the limited adaptation to extreme weather among public organizations: why does adaptation remain deficit after public organizations have experienced repeated extreme weather and some catastrophic consequences? We develop a computational agent-based model that integrates extant theory and data from semi-structured interviews of U.S. public transit agency managers, and use the model to investigate how micro-level cognition and behavior interact with environmental constraints to facilitate or impede the diffusion of adaptation. We articulate in greater detail how experience with influential extreme weather events matters to adaptation, highlighting that such experience is insufficient for adaptation to occur. A key insight is that the potential benefits from both increased risk perception and additional financial resources stemming from disaster- or non-disaster-induced opportunities can be underutilized, absent effective coupling between heightened risk perception and availability of resources that creates windows for adaptation. Using this insight, we further identify managerial and policy interventions with maximum leverage to promote adaptation to extreme weather in public organizations. The experiments show that slowing risk perception decay and synchronizing opportunities with extreme weather occurrences can stimulate adaptation."
